40
2 	 8 37
1 	 14
1 	 36
1 	 4
3 	 5 35 3
3 	 39 4 11
2 	 24 27
1 	 34
2 	 39 0
1 	 24
1 	 35
1 	 5
1 	 20
1 	 22
3 	 30 1 22
1 	 21
2 	 28 32
1 	 22
1 	 34
1 	 32
2 	 23 12
5 	 24 15 28 34 23
5 	 14 17 38 13 31
3 	 21 39 20
4 	 21 30 9 6
1 	 36
1 	 28
1 	 6
4 	 21 26 16 29
1 	 28
3 	 24 36 14
1 	 22
2 	 16 19
1 	 39
3 	 21 7 18
2 	 4 10
3 	 30 2 25
1 	 0
1 	 22
4 	 23 33 5 8
1 	 7
1 	 3
1 	 22
3 	 22 7 1
1 	 39
1 	 23
1 	 27
3 	 3 30 0
1 	 23
1 	 27
1 	 26
1 	 26
3 	 21 22 39
1 	 26
2 	 22 16
1 	 19
2 	 14 24
1 	 33
2 	 27 19
2 	 18 15
1 	 30
5 	 25 38 27 33 12
4 	 12 2 3 14
3 	 31 8 5
1 	 16
4 	 21 31 28 37
5 	 36 11 34 13 10
4 	 21 9 18 6
1 	 25
1 	 33
2 	 7 20
3 	 25 23 36
1 	 36
3 	 21 29 17
1 	 26
1 	 37
3 	 31 32 26
2 	 25 35
1 	 21
2 	 12 4
