300
1 	 54
1 	 193
2 	 158 14
1 	 232
3 	 226 279 197
1 	 9
1 	 214
2 	 137 51
1 	 9
6 	 89 43 99 8 142 5
1 	 245
1 	 242
2 	 122 37
1 	 96
1 	 2
1 	 235
1 	 192
2 	 50 116
3 	 220 257 135
1 	 92
4 	 43 159 61 234
1 	 287
2 	 245 274
1 	 153
5 	 270 195 98 258 216
4 	 125 164 47 208
2 	 43 244
1 	 268
1 	 114
1 	 65
1 	 286
1 	 185
1 	 104
3 	 107 133 266
2 	 41 210
1 	 170
1 	 97
1 	 12
4 	 284 158 165 232
1 	 229
1 	 143
6 	 268 207 34 215 174 183
3 	 196 112 143
4 	 9 20 97 26
1 	 192
1 	 56
1 	 84
4 	 25 59 66 294
1 	 158
4 	 295 229 264 132
3 	 270 87 17
2 	 7 267
2 	 65 189
1 	 277
3 	 185 0 107
1 	 77
4 	 149 45 77 263
1 	 109
1 	 67
1 	 47
1 	 130
3 	 20 85 140
1 	 272
2 	 280 191
1 	 249
3 	 113 52 29
1 	 47
2 	 231 58
1 	 182
2 	 193 92
1 	 231
2 	 153 292
2 	 129 90
1 	 285
1 	 183
2 	 220 254
1 	 280
3 	 56 55 296
2 	 98 217
2 	 273 162
1 	 247
1 	 153
1 	 230
1 	 182
3 	 273 155 46
1 	 61
2 	 245 290
2 	 50 157
3 	 110 161 278
4 	 268 9 222 214
1 	 72
1 	 96
5 	 69 198 147 19 298
2 	 228 253
1 	 280
1 	 149
4 	 173 13 121 91
4 	 43 180 128 36
4 	 24 235 295 78
2 	 9 223
1 	 240
1 	 134
1 	 244
1 	 275
2 	 158 32
2 	 172 124
1 	 226
2 	 54 33
1 	 222
2 	 247 57
5 	 284 245 182 88 286
1 	 191
2 	 42 289
5 	 193 188 125 137 65
2 	 147 28
1 	 285
1 	 17
1 	 211
2 	 198 160
2 	 144 261
2 	 249 169
1 	 96
2 	 144 12
1 	 245
1 	 105
6 	 113 205 283 25 281 211
1 	 176
1 	 228
2 	 97 138
3 	 218 72 190
2 	 188 60
1 	 230
1 	 49
1 	 33
4 	 194 179 177 101
1 	 18
1 	 172
3 	 113 7 185
1 	 128
1 	 180
1 	 61
3 	 268 176 271
2 	 9 170
2 	 42 40
4 	 188 247 122 119
2 	 220 212
2 	 172 238
2 	 92 114
2 	 164 204
3 	 163 56 95
1 	 167
1 	 170
1 	 167
5 	 239 81 23 71 262
1 	 265
1 	 84
1 	 283
1 	 87
5 	 38 275 104 2 48
1 	 20
1 	 118
1 	 88
1 	 79
9 	 270 226 285 242 220 149 272 291 203
2 	 25 148
1 	 38
1 	 279
5 	 228 152 255 225 150
1 	 189
1 	 120
3 	 142 35 151
1 	 188
5 	 193 136 146 184 105
3 	 226 96 265
1 	 41
1 	 218
3 	 141 126 186
1 	 134
2 	 205 206
1 	 134
3 	 97 230 139
1 	 239
4 	 110 299 83 68
2 	 41 74
1 	 172
4 	 137 287 54 31
1 	 176
1 	 247
5 	 113 144 194 171 130
4 	 52 249 168 201
1 	 129
2 	 63 111
3 	 233 44 16
5 	 268 172 113 69 1
2 	 188 134
1 	 24
3 	 226 42 219
1 	 4
3 	 92 118 250
1 	 288
1 	 270
1 	 189
1 	 212
1 	 163
1 	 148
2 	 125 178
1 	 178
1 	 41
1 	 25
1 	 222
1 	 34
2 	 125 117
2 	 145 202
1 	 227
2 	 89 6
1 	 41
4 	 24 240 221 237
1 	 78
3 	 253 129 175
1 	 196
4 	 163 75 18 145
1 	 216
4 	 89 108 209 236
1 	 99
1 	 279
1 	 167
5 	 163 4 173 196 106
2 	 247 213
5 	 239 93 167 276 127
2 	 49 39
3 	 180 131 82
3 	 252 67 70
3 	 38 297 3
2 	 284 192
1 	 20
4 	 98 273 15 288
1 	 222
1 	 216
1 	 146
5 	 228 270 153 181 256
2 	 216 100
1 	 265
2 	 163 11
1 	 249
3 	 26 280 102
6 	 110 252 22 10 86 123
3 	 270 282 293
5 	 144 109 227 187 80
1 	 296
4 	 189 120 243 64
1 	 198
1 	 282
2 	 245 231
3 	 93 260 218
1 	 75
1 	 167
1 	 239
1 	 18
1 	 24
1 	 261
1 	 253
3 	 119 277 259
1 	 153
1 	 56
1 	 49
3 	 173 154 241
1 	 33
1 	 51
7 	 270 193 89 27 284 41 141
1 	 279
7 	 239 268 50 163 24 246 200
1 	 141
2 	 163 62
3 	 235 84 79
1 	 22
2 	 158 103
1 	 228
2 	 261 53
1 	 88
4 	 4 224 166 269
4 	 244 63 94 76
1 	 125
2 	 246 251
2 	 125 156
4 	 268 38 110 233
3 	 163 115 73
2 	 110 30
2 	 185 21
2 	 235 199
1 	 112
1 	 86
1 	 163
1 	 71
1 	 246
1 	 47
2 	 98 49
2 	 77 248
1 	 232
1 	 92
1 	 182
3 	 56 12 65
2 	 144 299
3 	 75 55 297
5 	 98 38 23 24 40
5 	 75 136 212 211 22
1 	 52
4 	 128 265 124 61
1 	 141
1 	 52
1 	 210
4 	 186 152 183 190
1 	 52
2 	 0 170
5 	 274 93 75 126 32
3 	 28 73 254
1 	 56
1 	 92
1 	 167
1 	 254
1 	 215
3 	 109 214 83
1 	 285
2 	 4 131
5 	 3 64 74 271 176
1 	 3
4 	 69 268 266 26
1 	 25
1 	 266
2 	 98 14
3 	 168 116 165
1 	 241
1 	 47
1 	 13
1 	 116
2 	 109 178
1 	 178
1 	 98
1 	 247
7 	 3 274 240 137 205 277 49
3 	 137 43 198
1 	 3
1 	 156
1 	 147
1 	 39
1 	 47
1 	 94
2 	 237 118
4 	 232 248 44 31
2 	 54 203
1 	 38
2 	 291 103
3 	 137 200 66
5 	 98 11 8 5 132
2 	 101 154
5 	 60 150 48 171 252
2 	 2 97
5 	 126 0 199 143 15
1 	 97
2 	 186 100
1 	 209
4 	 84 54 276 95
1 	 6
1 	 140
1 	 171
1 	 23
1 	 0
1 	 51
3 	 191 197 223
1 	 175
4 	 92 191 25 86
1 	 159
3 	 273 275 218
1 	 183
1 	 14
1 	 23
5 	 13 4 186 2 284
2 	 113 241
3 	 175 213 157
1 	 95
1 	 267
1 	 237
2 	 213 192
1 	 272
1 	 20
4 	 274 60 273 289
1 	 188
2 	 69 110
1 	 127
2 	 242 298
2 	 137 258
1 	 209
2 	 284 209
6 	 232 69 162 148 99 16
5 	 13 196 282 295 296
3 	 141 45 280
3 	 60 78 130
1 	 137
2 	 55 57
5 	 3 28 52 36 125
2 	 92 188
2 	 58 279
3 	 200 227 53
2 	 109 208
1 	 50
1 	 123
1 	 144
2 	 297 134
2 	 159 278
2 	 244 228
4 	 137 102 20 34
3 	 86 160 185
1 	 201
1 	 251
4 	 205 267 76 127
1 	 160
1 	 156
2 	 29 33
4 	 205 147 184 181
1 	 46
1 	 146
2 	 137 166
1 	 183
2 	 160 169
3 	 268 217 104
1 	 6
1 	 98
2 	 13 56
2 	 113 87
3 	 175 6 233
2 	 152 255
1 	 95
1 	 22
1 	 52
1 	 222
1 	 106
2 	 237 145
4 	 4 237 288 287
9 	 38 175 39 120 109 51 89 96 220
1 	 297
1 	 144
2 	 288 62
3 	 274 94 7
1 	 167
1 	 56
6 	 274 105 250 139 149 1
1 	 135
2 	 240 119
2 	 117 42
1 	 92
1 	 144
2 	 54 195
1 	 159
2 	 10 129
4 	 209 261 245 286
1 	 53
1 	 169
4 	 212 41 206 115
1 	 77
1 	 268
6 	 273 168 107 151 215 70
4 	 110 122 114 270
1 	 182
2 	 92 290
1 	 233
3 	 267 182 201
1 	 29
1 	 120
4 	 273 17 193 142
2 	 159 29
2 	 122 155
1 	 12
2 	 54 63
1 	 191
1 	 233
1 	 182
5 	 137 221 128 77 68
1 	 23
1 	 205
2 	 34 35
3 	 289 292 187
1 	 188
1 	 117
3 	 164 161 174
4 	 10 121 72 256
1 	 117
1 	 110
6 	 75 58 249 10 224 285
1 	 179
3 	 99 85 180
1 	 205
1 	 10
4 	 69 239 67 172
1 	 81
1 	 167
1 	 257
1 	 150
1 	 93
1 	 67
1 	 39
2 	 56 222
4 	 51 234 101 231
2 	 164 111
1 	 251
1 	 48
1 	 207
5 	 38 177 113 189 117
1 	 156
2 	 240 204
1 	 102
4 	 91 153 59 90
